Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
36,2.0,0.0,0.0,76.0,4.0,18.0,739.0,0.1,11.202999999999998,0.0,0.0,198.24069237709045,,,,,,,,,,,,,,,,,,,,,4.452212295423344,4.060106300475041,11.145139312167405,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2.0,0.0,0.0,95.0,5.0,19.0,758.0,0.1,14.201999999999998,0.0,0.0,200.31255841255188,,,,,,,,,,,,,,,,,,,,,6.408053526270226,4.951988058673154,14.10844977409929,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2.0,0.0,0.0,160.0,6.0,65.0,823.0,0.1,38.902000000000015,0.0,0.0,206.85433793067932,,,,,,,,,,,,,,,,,,,,,17.168712183703423,10.66305030238114,37.8617192849098,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2.0,0.0,0.0,179.0,7.0,19.0,842.0,0.1,12.202999999999998,0.0,0.0,208.94298720359802,,,,,,,,,,,,,,,,,,,,,4.9085095524369775,4.388690386966952,12.133994172855237,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2.0,0.0,0.0,222.0,8.0,43.0,885.0,0.1,31.203000000000007,0.0,0.0,213.3330934047699,,,,,,,,,,,,,,,,,,,,,13.227193848448543,9.793805255302104,30.695591151228008,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,241.0,9.0,19.0,904.0,0.1,8.903999999999996,0.0,0.0,215.44833159446716,,,,,,,,,,,,,,,,,,,,,2.9096771157108217,3.199002770183005,8.866440148658667,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,268.0,10.0,27.0,931.0,0.1,16.40400000000001,0.0,0.0,218.55033206939697,,,,,,,,,,,,,,,,,,,,,5.991342807050436,5.737300587196694,16.274767003449536,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,283.0,11.0,15.0,946.0,0.1,7.303,0.0,0.0,220.2800681591034,,,,,,,,,,,,,,,,,,,,,2.5824878229796435,2.7129562431289544,7.278813029902081,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,299.0,12.0,16.0,962.0,0.1,8.802999999999997,0.0,0.0,222.19691061973572,,,,,,,,,,,,,,,,,,,,,3.2801638727758085,3.266189457827361,8.768044699389668,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,330.0,13.0,31.0,993.0,0.1,18.604000000000013,0.0,0.0,225.46917152404785,,,,,,,,,,,,,,,,,,,,,7.04046645904378,6.062649296405394,18.422572261720827,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,346.0,14.0,16.0,1009.0,0.1,10.701999999999998,0.0,0.0,227.28777027130127,,,,,,,,,,,,,,,,,,,,,4.591346550148097,3.873848617397328,10.649827460290753,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,363.0,15.0,17.0,1026.0,0.1,7.404,0.0,0.0,229.31581282615662,,,,,,,,,,,,,,,,,,,,,2.355845224932202,2.700467428951833,7.378700653783066,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,3.0,0.0,0.0,0.0,0.0,18.0,1044.0,0.1,10.702999999999998,0.0,0.0,292.2567265033722,,,,,,,,,2.027673,0.459729,2.866162,1.4622383,,,,,11.531438,6.7515264,29.98609,2.6524415,4.148179943466079,3.8663674992875734,10.649621354104468,0.001,2.8487275,0.0,2.8487275,2.8487275,7.459766254699214e-17,0.9999999978699899,4.437876734369886,-1.8149299484752133,5.357987,4.218306,13.905403,-0.2527153,2.09642,0.4272135,2.8614244,1.5806375,-0.040262453,0.035077162,0.033191256,-0.089911945,6.839250247745498,6.1123028066506535,24.09353508421198,0.00040742277043614994,0.0821919,0.0,0.0821919,0.0821919,0.9898526,0.28026187,4.050292,0.23461793,0.9794819,0.13408001,1.2,0.8
49,3.0,0.0,0.0,18.0,1.0,18.0,1062.0,0.1,10.302999999999997,0.0,0.0,299.5843331813812,,,,,,,,,,,,,,,,,,,,,3.8610180482152945,3.753045175931388,10.253999419972653,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3.0,0.0,0.0,33.0,2.0,15.0,1077.0,0.1,6.803,0.0,0.0,301.44512939453125,,,,,,,,,,,,,,,,,,,,,2.3498533241456103,2.496222578448988,6.781308034899581,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3.0,0.0,0.0,59.0,3.0,26.0,1103.0,0.1,15.602999999999998,0.0,0.0,304.3670160770416,,,,,,,,,,,,,,,,,,,,,6.831412432386561,4.967820634521884,15.456280381240054,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3.0,0.0,0.0,73.0,4.0,14.0,1117.0,0.1,7.203,0.0,0.0,306.1294138431549,,,,,,,,,,,,,,,,,,,,,2.6814952971416672,2.7020026707738136,7.179811509046602,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,3.0,0.0,0.0,102.0,5.0,29.0,1146.0,0.1,17.603000000000005,0.0,0.0,309.3134365081787,,,,,,,,,,,,,,,,,,,,,7.515637581604099,5.49204737006721,17.419868827920492,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3.0,0.0,0.0,122.0,6.0,20.0,1166.0,0.1,13.601999999999999,0.0,0.0,311.59278631210327,,,,,,,,,,,,,,,,,,,,,5.986130940041848,4.5562780758628225,13.509282436790308,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,3.0,0.0,0.0,149.0,7.0,27.0,1193.0,0.1,13.702999999999998,0.0,0.0,314.53811287879944,,,,,,,,,,,,,,,,,,,,,5.928693912135896,4.2032030334362736,13.570051797916365,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,3.0,0.0,0.0,165.0,8.0,16.0,1209.0,0.1,7.803,0.0,0.0,316.426881313324,,,,,,,,,,,,,,,,,,,,,2.750909503895124,2.8513758817728805,7.774526726864682,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,3.0,0.0,0.0,182.0,9.0,17.0,1226.0,0.1,11.201999999999998,0.0,0.0,318.426917552948,,,,,,,,,,,,,,,,,,,,,4.713057264980684,4.027422271492418,11.14415519272559,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,3.0,0.0,0.0,196.0,10.0,14.0,1240.0,0.1,7.203,0.0,0.0,320.24271535873413,,,,,,,,,,,,,,,,,,,,,2.6814952971416672,2.7020026707738136,7.179811509046602,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,3.0,0.0,0.0,243.0,11.0,47.0,1287.0,0.1,29.203000000000014,0.0,0.0,325.0360391139984,,,,,,,,,,,,,,,,,,,,,11.0062222883786,9.546626693356227,28.743165139560187,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3.0,0.0,0.0,278.0,12.0,35.0,1322.0,0.1,24.803000000000008,0.0,0.0,328.7085111141205,,,,,,,,,,,,,,,,,,,,,10.373726722640807,8.13232100943681,24.488872821477713,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,321.0,13.0,43.0,1365.0,0.1,24.403000000000024,0.0,0.0,333.1475203037262,,,,,,,,,,,,,,,,,,,,,8.793820072545286,7.569595596724496,24.072987639171256,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,354.0,14.0,33.0,1398.0,0.1,22.203000000000007,0.0,0.0,336.57422494888306,,,,,,,,,,,,,,,,,,,,,9.774014418944374,7.064322439580153,21.92428416822713,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,375.0,15.0,21.0,1419.0,0.1,13.702999999999998,0.0,0.0,338.9292824268341,,,,,,,,,,,,,,,,,,,,,5.500493709261523,4.857614531190159,13.614705428256592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4.0,0.0,0.0,0.0,0.0,17.0,1436.0,0.1,10.202999999999998,0.0,0.0,407.1418299674988,,,,,,,,,1.8901179,0.39613482,2.6652672,1.3900403,,,,,12.66431,7.4782257,52.450836,3.2646,4.000342773221469,3.7276164193217336,10.155294606774179,0.001,2.8345912,0.0,2.8345912,2.8345912,-1.8126090197961738e-17,0.9999999978623275,5.07725736597428,-2.073268007640135,5.9500685,5.334019,23.709435,-0.8110723,1.9773076,0.3618151,2.6801136,1.5163924,-0.058768053,0.03498155,0.013632779,-0.098006375,7.177307526583117,6.5955990631351,25.6013426917068,-0.03856401088268757,0.07792032,0.0,0.07792032,0.07792032,0.9826414,0.34317166,5.1822476,0.11285278,0.9760178,0.14559023,1.2,0.8
65,4.0,0.0,0.0,19.0,1.0,19.0,1455.0,0.1,12.702999999999998,0.0,0.0,414.84625244140625,,,,,,,,,,,,,,,,,,,,,5.248569691549748,4.559883686944008,12.628521590520005,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,4.0,0.0,0.0,39.0,2.0,20.0,1475.0,0.1,11.702999999999998,0.0,0.0,417.0877990722656,,,,,,,,,,,,,,,,,,,,,4.67129036974953,4.032710054796318,11.63282821620921,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4.0,0.0,0.0,64.0,3.0,25.0,1500.0,0.1,13.504999999999995,0.0,0.0,419.7718780040741,,,,,,,,,,,,,,,,,,,,,4.5230624458703055,4.795829419922028,13.418747515136,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4.0,0.0,0.0,91.0,4.0,27.0,1527.0,0.1,17.402000000000008,0.0,0.0,422.73608803749084,,,,,,,,,,,,,,,,,,,,,6.770431157547363,5.9558900176653875,17.253688482021783,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,4.0,0.0,0.0,113.0,5.0,22.0,1549.0,0.1,13.201999999999998,0.0,0.0,425.1852786540985,,,,,,,,,,,,,,,,,,,,,5.399843080640308,4.375151073540064,13.10940916113903,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4.0,0.0,0.0,131.0,6.0,18.0,1567.0,0.1,10.702999999999998,0.0,0.0,427.2450499534607,,,,,,,,,,,,,,,,,,,,,4.148179943466079,3.8663674992875734,10.649621354104468,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4.0,0.0,0.0,156.0,7.0,25.0,1592.0,0.1,10.501999999999995,0.0,0.0,429.98278737068176,,,,,,,,,,,,,,,,,,,,,4.2045733248651675,3.0529103545779304,10.41771067050872,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
